,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,41,0,2,1102,1,1,2,5,2,0,94,3,2,7,4,2,19479,8,1,11,3,1,0.0,8,0.5,1,6,4,0.0,5
1,49,1,1,279,2,8,1,5,3,1,61,2,2,6,2,1,24907,1,0,23,3,4,1.0,10,3.0,3,10,7,1.0,7
2,37,0,2,1373,2,2,2,1,4,1,92,2,1,8,3,2,2396,6,1,15,3,2,0.0,7,3.0,3,0,0,0.0,0
3,33,1,1,1392,2,3,4,5,4,0,56,3,1,6,3,1,23159,1,1,11,3,3,0.0,8,3.0,3,8,7,3.0,0
4,27,1,2,591,2,2,1,4,1,1,40,3,1,8,2,1,16632,2,0,12,3,4,1.0,6,3.0,3,2,2,2.0,2
5,32,1,1,1005,2,2,2,5,4,1,79,3,1,8,4,2,11864,0,0,13,3,3,0.0,8,2.0,2,7,7,3.0,6
6,59,1,2,1324,2,3,3,4,3,0,81,4,1,8,1,1,9964,4,1,20,3,1,2.5,12,3.0,2,1,0,0.0,0
7,30,1,2,1358,2,24,1,5,4,1,67,3,1,8,3,0,13335,1,0,22,3,2,1.0,1,2.0,3,1,0,0.0,0
8,38,1,1,216,2,23,3,5,4,1,44,2,3,3,3,2,8787,0,0,21,3,2,0.0,10,2.0,3,9,7,1.0,8
9,36,1,2,1299,2,27,3,4,3,1,94,3,2,2,3,1,16577,6,0,13,3,2,2.0,17,3.0,2,7,7,7.0,7
10,35,1,2,809,2,16,3,4,1,1,84,4,1,8,2,1,16479,0,0,13,3,3,1.0,6,4.5,3,5,4,0.0,3
11,29,1,2,153,2,15,2,5,4,0,49,2,2,8,3,2,12682,0,1,12,3,4,0.0,10,3.0,3,9,5,0.0,8
12,31,1,2,670,2,26,1,5,1,1,31,3,1,6,3,0,15170,1,0,17,3,4,1.0,5,1.0,2,5,2,4.0,3
13,34,1,2,1346,2,19,2,4,2,1,93,3,1,8,4,0,8758,0,0,11,3,3,1.0,3,2.0,3,2,2,1.0,2
14,28,0,2,103,2,24,3,5,3,1,50,2,1,8,3,2,12947,5,1,14,3,2,0.0,6,4.0,3,4,2,0.0,3
15,29,1,2,1389,2,21,4,5,2,0,51,4,3,3,1,0,10195,1,0,11,3,3,1.0,10,1.0,3,10,9,7.5,8
16,32,1,2,334,2,5,2,5,1,1,80,4,1,6,2,0,15053,0,1,12,3,4,2.0,7,4.5,2,6,2,0.0,5
17,22,1,0,1123,2,16,2,4,4,1,96,4,1,8,4,0,7324,1,1,13,3,2,2.0,1,2.0,2,1,0,0.0,0
18,53,1,2,1219,1,2,4,5,1,0,78,2,4,1,4,1,22021,2,0,16,3,3,0.0,10,3.0,3,18,8,3.0,7
19,38,1,2,371,2,2,3,5,4,1,45,3,1,6,4,2,4306,5,1,11,3,3,0.0,6,3.0,3,3,2,1.0,2
20,24,1,0,673,2,11,2,1,1,0,96,4,2,3,3,0,8232,0,0,18,3,4,1.0,5,4.5,2,4,2,1.0,3
21,36,0,2,1218,1,9,4,5,3,1,82,2,1,5,1,2,6986,7,0,23,3,2,0.0,10,4.0,3,5,3,0.0,3
22,34,1,2,419,2,7,4,5,1,0,53,3,3,0,2,2,21293,0,0,11,3,3,0.0,13,4.0,3,12,6,2.0,11
23,21,1,2,391,2,15,2,5,3,1,96,3,1,6,4,2,19281,1,0,14,3,4,0.0,0,4.5,3,0,0,0.0,0
24,34,0,2,699,2,6,1,4,2,1,83,3,1,6,1,2,17102,2,0,11,3,3,0.0,8,2.0,3,4,2,1.0,3
25,53,1,2,1282,2,5,3,1,3,0,58,3,5,1,3,0,10735,4,0,11,3,4,1.0,26,3.0,2,14,13,4.0,8
26,32,0,1,1125,2,16,1,5,2,0,72,1,1,6,1,2,4681,1,1,22,3,2,0.0,10,4.5,3,10,2,6.0,7
27,42,1,2,691,1,8,4,3,3,1,48,3,2,7,2,1,21173,0,0,11,3,4,1.0,10,2.0,3,9,7,4.0,2
28,44,1,2,477,2,7,4,4,1,0,42,2,3,2,4,1,2094,3,0,14,3,4,1.0,24,4.0,3,18,6,5.0,3
29,46,1,2,705,1,2,4,3,2,0,83,3,5,1,1,2,22822,3,0,12,3,4,0.0,22,2.0,2,2,2,2.0,1
30,33,1,2,924,2,2,3,4,3,1,78,3,1,8,4,2,6670,4,0,11,3,4,0.0,7,3.0,3,1,1,0.0,0
31,44,1,2,1459,2,10,4,1,4,1,41,3,2,2,4,1,19121,2,1,13,3,4,0.0,9,4.5,4,4,2,1.0,3
32,30,1,2,125,2,9,2,4,4,1,83,2,1,8,3,2,16117,1,0,13,3,1,0.0,10,4.5,3,10,0,1.0,8
33,39,0,2,895,1,5,3,2,4,1,56,3,2,5,4,1,3335,3,0,14,3,3,1.0,19,4.5,4,1,0,0.0,0
34,24,0,2,813,2,1,3,4,2,1,61,3,1,6,4,1,3020,2,1,16,3,1,1.0,6,2.0,2,2,0,2.0,0
35,43,1,2,1273,2,2,2,4,4,0,72,4,1,6,3,0,21923,1,0,12,3,4,2.0,6,3.0,2,5,3,1.0,4
36,50,0,2,869,1,3,2,3,1,1,86,2,1,5,3,1,3810,1,1,14,3,3,0.0,3,2.0,3,3,2,0.0,2
37,35,1,2,890,1,2,3,3,4,0,97,3,1,5,4,1,9687,1,0,13,3,1,0.0,2,3.0,3,2,2,2.0,2
38,36,1,2,852,2,5,4,5,2,0,82,2,1,6,1,1,13072,2,1,14,3,4,1.0,6,3.0,4,1,1,0.0,0
39,33,1,1,1141,1,1,3,5,3,0,42,4,2,7,1,1,3193,2,0,19,3,1,2.0,10,3.0,3,5,3,1.0,3
40,35,1,2,464,2,4,2,1,3,1,75,3,1,8,4,0,10910,1,0,12,3,3,1.0,1,3.0,3,1,0,0.0,0
41,27,1,2,1240,2,2,4,5,4,0,33,3,1,8,1,0,19715,1,0,13,3,4,1.0,1,4.5,3,1,0,0.0,0
42,26,0,2,1357,2,25,3,5,1,1,48,1,1,8,3,2,10558,1,0,12,3,3,0.0,1,2.0,2,1,0,0.0,1
43,27,1,1,994,1,8,3,5,4,1,37,3,3,7,3,2,2975,1,0,15,3,4,0.0,9,0.5,3,9,8,1.0,7
44,30,1,1,721,2,1,2,4,3,0,58,3,2,8,4,2,10781,1,0,23,3,4,0.0,12,2.0,3,12,8,3.0,7
45,41,0,2,1360,2,12,3,2,2,0,49,3,5,0,3,1,16280,1,0,12,3,4,0.0,23,0.5,3,18,3,7.5,8
46,34,1,0,1065,1,23,4,3,2,1,72,3,2,7,3,2,10034,0,0,20,3,3,0.0,10,2.0,3,9,5,7.5,7
47,37,1,2,408,2,19,2,5,2,1,73,3,1,6,2,1,10227,4,0,21,3,1,0.0,8,1.0,3,1,0,0.0,0
48,46,1,1,1211,1,5,4,3,1,1,98,3,2,7,4,2,20445,4,1,21,3,3,0.0,14,4.0,3,9,6,0.0,8
49,35,1,2,1229,2,8,1,5,4,1,36,4,1,8,4,1,4892,1,0,19,3,4,0.0,1,2.0,3,1,0,0.0,1
50,48,0,2,626,2,1,2,5,1,1,98,2,3,8,3,2,19294,2,1,13,3,4,0.0,23,2.0,3,1,0,0.0,0
